id|ville|lat|lng
56|Austin, TX|30.267153|-97.7430608
57|Iowa City, IA|41.6611277|-91.5301683
58|Northridge, CA|34.2381251|-118.530123
59|Sioux Falls, SD|43.5473028|-96.728333
60|Davenport, ia|41.5236437|-90.5776367
61|Saint Paul, MN|44.9537029|-93.0899578
62|Charlottesville, VA|38.0293059|-78.47667810000002
63|CDMX|19.4326077|-99.133208
64|Munich,Germany|48.1351253|11.5819805
65|Paris,|48.856614|2.3522219
66|Nijmegen, Netherlands|51.8448837|5.842828099999999
67|Atlanta, GA|33.7489954|-84.3879824
68|Krakow, Poland|50.06465009999999|19.9449799
69|Bergen,|60.39126279999999|5.3220544
70|Dallas, TX|32.7766642|-96.79698789999999
71|Assago|45.4061985|9.1239694
72|Melbourne, VIC|-37.8136276|144.9630576
73|Paris|48.856614|2.3522219
74|Houston, TX|29.7604267|-95.3698028
75|Lexington KY|38.0405837|-84.5037164
76|Newark, NJ|40.735657|-74.1723667
77|Queens, NY|40.7282239|-73.7948516
78|Charlotte, NC|35.2270869|-80.8431267
79|Hershey, PA|40.2859239|-76.65024679999999
80|Oakland, CA|37.8043514|-122.2711639
81|Denver, CO|39.7392358|-104.990251
82|Lausanne|46.5196535|6.6322734
83|Gothenburg, Sweden|57.70887|11.97456
84|Utrecht, The Netherlands|52.09073739999999|5.1214201
85|Tampa, FL|27.950575|-82.4571776
86|Indianapolis, IN|39.768403|-86.158068
87|Colorado Springs, CO|38.8338816|-104.8213634
88|Lawrence, KS|38.9716689|-95.2352501
89|Richmond, VIC|-37.823|144.998
90|Warsaw,|52.2296756|21.0122287
91|Melbourne|-37.8136276|144.9630576
92|Winnipeg, MB|49.895136|-97.13837439999999
93|Vancouver, BC|49.2827291|-123.1207375
94|Stuttgart, Germany|48.7758459|9.1829321
95|Detroit, MI|42.331427|-83.0457538
96|South Burlington, VT|44.4669941|-73.1709604
97|Worcester, MA|42.2625932|-71.8022934
98|Toronto, ON|43.653226|-79.3831843
99|Cleveland, OH|41.49932|-81.6943605
100|Houston TX|29.7604267|-95.3698028
101|Nashville, TN|36.1626638|-86.7816016
102|Pittsburgh, PA|40.44062479999999|-79.9958864
103|Hollywood, CA|34.0928092|-118.3286614
104|Cleveland Heights, OH|41.5200518|-81.556235
105|Salem, OR|44.9428975|-123.0350963
106|Oslo, Norway|59.9138688|10.7522454
107|Manchester, NH|42.9956397|-71.4547891
108|Raleigh, NC|35.7795897|-78.6381787
109|Richmond, VA|37.5407246|-77.4360481
110|Dayton, OH|39.7589478|-84.1916069
111|SF Bay Area, CA|37.8271784|-122.2913078
112|Memphis, TN|35.1495343|-90.0489801
113|Phoenix, AZ|33.4483771|-112.0740373
114|Mobile, AL|30.6953657|-88.0398912
115|Reno, NV|39.5296329|-119.8138027
116|Albuquerque, NM|35.0843859|-106.650422
117|Tucson, AZ|32.2226066|-110.9747108
118|Salt Lake City, UT|40.7607793|-111.8910474
119|San Diego, CA|32.715738|-117.1610838
120|Amarillo, TX|35.2219971|-101.8312969
121|Chesapeake, VA|36.7682088|-76.2874927
122|Twin Cities, MN|44.9374831|-93.20099979999999
123|Peterborough, ON|44.309058|-78.31974699999999
124|Edmonton, AB|53.5461245|-113.4938229
125|Madison, WI|43.0730517|-89.4012302
126|Hamburg, Germany|53.5510846|9.9936819
127|Bridgeport, CT|41.1792258|-73.1894384
128|Montgomery, AL|32.3792233|-86.3077368
129|Toledo, OH|41.6528052|-83.5378674
130|Paris, France|48.856614|2.3522219
131|Springfield, MA|42.1014831|-72.589811
132|Dublin, Ireland|53.3498053|-6.2603097
133|Brownsville, TX|25.9017472|-97.4974838
134|Osh Kosh, Wisconsin|44.0247062|-88.5426136
135|Melbourne, FL|28.0836269|-80.60810889999999
136|Tallahassee, FL|30.4382559|-84.28073289999999
137|Neuhausen ob Eck, Germany|47.9713967|8.9300109
138|Roskilde, DK|55.64191|12.087845
139|Chattanooga, TN|35.0456297|-85.3096801
140|Shepton Mallet,|51.1909|-2.547886
141|Manchester, TN|35.4817431|-86.0885993
142|San Francisco, CA|37.7749295|-122.4194155
143|New York (NYC), NY|40.7127753|-74.0059728
144|Indio, CA|33.7205771|-116.2155619
145|Pilton,|51.16572530000001|-2.589688
146|Pilton, Somerset, UK|51.16572530000001|-2.589688
147|Pilton, England|51.16572530000001|-2.589688
148|Liverpool,|40.3917075|-90.0009491
149|Brussels,|50.8503396|4.3517103
150|Cardiff,|51.48158100000001|-3.17909
151|Offenbach, Germany|50.09563620000001|8.776084299999999
152|Edinburgh, UK|55.953252|-3.188267
153|Kyiv, Ukraine|50.4501|30.5234
154|Milano, Italy|45.4642035|9.189982
155|Aberdeen,|57.149717|-2.094278
156|Munich, Germany|48.1351253|11.5819805
157|Cardiff, UK|51.48158100000001|-3.17909
158|Ciudad de mexico|19.4326077|-99.133208
159|Melbourne, VIC, Australia|-37.8136276|144.9630576
160|Melbourne, Australia |-37.8136276|144.9630576
161|Rome,|41.9027835|12.4963655
162| Ciudad de México |19.4326077|-99.133208
163|Mexico City, Mexico|19.4326077|-99.133208
164|Amsterdam,|52.3666969|4.8945398
165|Milan, Italy|45.4642035|9.189982
166|Birmingham,|33.5185892|-86.8103567
167|Rochester, MI|42.680588|-83.1338214
168|Mexico City,|19.4326077|-99.133208
169|Shreveport, LA|32.5251516|-93.7501789
170|Omaha, NE|41.2565369|-95.9345034
171|Mannheim, Germany|49.4874592|8.466039499999999
172|Lund, Sweden|55.7046601|13.1910073
173|Tulsa, OK|36.1539816|-95.99277500000001
174|Ottawa, ON|45.4215296|-75.69719309999999
175|Jacksonville, FL|30.3321838|-81.65565099999999
176|Fresno, CA|36.7377981|-119.7871247
177|Oklahoma City, OK|35.4675602|-97.5164276
178|Dortmund, Germany|51.5135872|7.465298100000001
179|Wellington, New Zealand|-41.2864603|174.776236
180|Saint John's, NL|47.5615096|-52.7125768
181|Horsens, DK|55.8581302|9.8475881
182|Montreal, QC|45.5016889|-73.567256
183|Coventry, UK|52.406822|-1.519693
184|Bristow, VA|38.723303|-77.5367043
185|Nottingham, UK|52.95478319999999|-1.1581086
186|Sheffield, UK|53.38112899999999|-1.470085
187|Liverpool, UK|53.4083714|-2.9915726
188|Roma, Italy|41.9027835|12.4963655
189|Glasgow,|55.864237|-4.251806
190|Brighton, UK|50.82253000000001|-0.137163
191|Milano|45.4642035|9.189982
192|Finsbury Park, London, UK|51.56457839999999|-0.1047257
193|Roncade, Treviso, IT|45.6289905|12.3745787
194|Leicester, U.K.|52.6368778|-1.1397592
195|Newcastle Upon Tyne,|54.978252|-1.61778
196|Ferrara, Italy|44.8381237|11.619787
197|Brighton, United Kingdom|50.82253000000001|-0.137163
198|Ciudad de México, México|19.4326077|-99.133208
199|Newcastle Upon Tyne, UK|54.978252|-1.61778
200|Calgary, AB|51.04473309999999|-114.0718831
201|Spokane, WA|47.6587802|-117.4260465
202|Saskatoon, SK|52.1332144|-106.6700458
203|Halifax, NS|44.64876350000001|-63.5752387
204|Morrison, CO|39.6535988|-105.1910996
205|St. Louis, MO|38.6270025|-90.19940419999999
206|Fort Lauderdale, FL|26.1224386|-80.13731740000001
207|Mansfield, MA|42.03345650000001|-71.2190578
208|Inglewood, CA|33.9616801|-118.3531311
209|Kingston, UK|51.41233|-0.300689
210|Amsterdam|52.3666969|4.8945398
211|Edinburgh,|55.953252|-3.188267
212|Brisbane Australia |-27.4697707|153.0251235
213|Antwerpen, Belgium|51.2194475|4.4024643
214|Birmingham, UK|52.48624299999999|-1.890401
215|Leeds, UK|53.8007554|-1.5490774
216|Amsterdam, The Netherlands|52.3666969|4.8945398
217|Antwerp,|51.2194475|4.4024643
218|Tetbury,|51.639295|-2.15818
219|Wiesbaden, Germany|50.0782184|8.239760799999999
220|St. Austell,|50.3403779|-4.7834252
221|Newport,|41.4901024|-71.3128285
222|Bath|51.3810641|-2.3590167
223|Belfast,|54.59728500000001|-5.93012
224|Treviso, Italy|45.6668893|12.2430437
225|Nantes, FR|47.218371|-1.553621
226|Plymouth|41.9584457|-70.6672621
227|Copenhagen, Denmark|55.6760968|12.5683372
228|Providence, RI|41.8239891|-71.4128343
229| London, UK|51.5073509|-0.1277583
230|Vicenza, IT|45.5454787|11.5354214
231|Wembley, London|51.550501|-0.3048409
232|Milan, IT|45.4642035|9.189982
233|Florence, Italy|43.7695604|11.2558136
234|Columbia, MD|39.2037144|-76.86104619999999
235|Guadalajara, Jalisco, Mexico|20.6596988|-103.3496092
236|Toulouse, France|43.604652|1.444209
237|Köln, Germany|50.937531|6.9602786
238|Hindmarsh, SA|-34.906|138.57
239|Wantagh, NY|40.6837121|-73.5101258
240|Greensboro, NC|36.0726354|-79.7919754
241|Virginia Beach, VA|36.8529263|-75.97798499999999
242|Beckley, WV|37.7781702|-81.1881557
243|Wilmore, KY|37.8620226|-84.6616105
244|Silver Spring, MD|38.99066570000001|-77.026088
245|Charleston, WV|38.3498195|-81.6326234
246|Springfield, VA|38.7892801|-77.18720359999999
247|New Orleans, LA|29.95106579999999|-90.0715323
248|Biloxi, MS|30.3960318|-88.88530779999999
249|Mt. Union, PA|40.3845217|-77.8822199
250|Columbus, OH|39.9611755|-82.99879419999999
251|Ballarat, VIC|-37.5621587|143.8502556
252|Baltimore, MD|39.2903848|-76.6121893
253|Orlando, FL|28.5383355|-81.3792365
254|Ramonville St Agne,|43.543794|1.4784139
255|Scottsdale, AZ |33.4941704|-111.9260519
256|Las Cruces, NM|32.3199396|-106.7636538
257|Nantes, France|47.218371|-1.553621
258|Barcelona, Spain|41.3850639|2.1734035
259|Barcelona,|41.3850639|2.1734035
260|Budapest,|47.497912|19.040235
261|Lille, France|50.62925|3.057256
262|Asheville, NC|35.5950581|-82.5514869
263|Brooklyn, NY|40.6781784|-73.9441579
264|Big Rapids, MI|43.6980782|-85.4836557
265|Minneapolis, MN	|44.977753|-93.2650108
266|Mountain View, CA|37.3860517|-122.0838511
267|Riviera Maya, Mexico|20.5536295|-87.1670412
268|Lowell, MA|42.6334247|-71.31617179999999
269|Stockholm|59.32932349999999|18.0685808
270|Prague, Czech Republic|50.0755381|14.4378005
271|Glasgow, UK|55.864237|-4.251806
272|Fort Worth, TX|32.7554883|-97.3307658
273|Warrnambool, VIC, Australia|-38.3686779|142.4982086
274|Orangevale, CA|38.6785145|-121.2257818
275|Stockton, CA|37.9577016|-121.2907796
276|Saint Kilda, VIC|-37.864|144.982
277|Titusville, FL|28.6122187|-80.8075537
278|Celle, Germany|52.6175963|10.0628514
279|Exeter, UK|50.718412|-3.533899
280|Greenville, SC|34.85261759999999|-82.3940104
281|Southwold,|52.32562799999999|1.680181
282|Burnaby, BC|49.2488091|-122.9805104
283|College Park, MD|38.9896967|-76.93776
284|Belleville, ON|44.1627589|-77.3832315
285|Sauget, IL|38.5964402|-90.18483309999999
286|Grand Rapids, MI|42.9633599|-85.6680863
287|Buffalo, NY|42.88644679999999|-78.8783689
288|Fortitude Valley, QLD|-27.4565|153.0345
289|Berlin, Germany|52.52000659999999|13.404954
290|Karlskoga, Sweden|59.32863399999999|14.536414
291|Jacksonville fl|30.3321838|-81.65565099999999
292|Budapest, Hungary|47.497912|19.040235
293|Castle Donington, UK|52.845016|-1.3373001
294|Leipzig, DE|51.3396955|12.3730747
295|Santiago, CL|-33.4488897|-70.6692655
296|Scheessel,|53.1697267|9.4870781
297|Carson, CA|33.8316745|-118.281693
298|Hampton, VA|37.0298687|-76.34522179999999
299|Mashantucket, CT|41.4615182|-71.97866259999999
300| peoria  illinois|40.6936488|-89.5889864
301|moline illinois|41.5067003|-90.51513419999999
302|Merrillville, IN|41.4828144|-87.33281389999999
303|Uncasville, CT|41.43169049999999|-72.1100945
304|Rosemont, IL|41.98675069999999|-87.8721602
305|Cincinnati, OH|39.1031182|-84.5120196
306|Hammond, IN|41.5833688|-87.5000412
307|Etobicoke, ON|43.6204946|-79.5131983
308|Utrecht, Netherlands|52.09073739999999|5.1214201
309|Los Angeles (LA), CA|34.0522342|-118.2436849
310|Lansing, OH|40.0756276|-80.79008549999999
311|Miami Beach, FL|25.790654|-80.1300455
312|L'Hospitalet de Llobregat, Barcelona|41.3661865|2.1164942
313|Chambéry, France|45.564601|5.917781
314|Αθήνα|37.9838096|23.7275388
315|Enschede, The Netherlands|52.2215372|6.8936619
316|Athens, OH|39.3292396|-82.1012554
317|Williamsburg, VA|37.2707022|-76.7074571
318|Lafayette, LA|30.2240897|-92.0198427
319|Madrid, Spain|40.4167754|-3.7037902
320|Glasgow, Scotland|55.864237|-4.251806
321|Montreux, Switzerland|46.4312213|6.9106799
322|Columbia, IL|38.44366369999999|-90.2012239
323|East Rutherford, NJ|40.833989|-74.0970865
324|Isle Of Wight,|50.69384789999999|-1.304734
325|Commerce City, CO|39.8083196|-104.9338675
326|Tyagarah, NSW|-28.6065992|153.5527761
327|Lincoln, NE|40.813616|-96.7025955
328|Brisbane, QLD|-27.4697707|153.0251235
329|Düsseldorf,|51.2277411|6.7734556
330|Anaheim, CA|33.8365932|-117.9143012
331|Perth, WA|-31.9505269|115.8604572
332|Thonex, Switzerland|46.19283739999999|6.202767
333|Norwich,|41.5242649|-72.07591049999999
334|Aberdeen, UK|57.149717|-2.094278
335|Strasbourg, FR|48.5734053|7.752111299999999
336|Boston / Cambridge, MA|42.3736158|-71.10973349999999
337|Hong Kong|22.3193039|114.1693611
338|Council Bluffs, IA|41.2619444|-95.8608333
339|Ithaca, NY|42.4439614|-76.5018807
340|Lolo Hot Springs, MT|46.729408|-114.5399019
341|Darrington, WA|48.2553867|-121.6015142
342|Santa Rosa, CA|38.440429|-122.7140548
343|Quincy, CA|39.9368363|-120.9471764
344|Rothbury, MI|43.5072317|-86.3475717
345|Rye, CO|37.9236194|-104.9302662
346|Bradley, CA|35.8632993|-120.8007321
347|Ozark, AR|35.4870295|-93.8276965
348|Malakasa, Greece|38.2388242|23.7964627
349|Tilburg, the Netherlands|51.58525280000001|5.056375
350|Melbourne vic|-37.8136276|144.9630576
351|Auckland, New Zealand|-36.8484597|174.7633315
352|Santa Ana, CA|33.7454725|-117.867653
353|Lake Buena Vista, FL|28.3695351|-81.5261474
354|West Melbourne, VIC|-37.8089044|144.9290625
355|Mesa, AZ|33.4151843|-111.8314724
356|Syracuse, NY|43.0481221|-76.14742439999999
357|Avila Beach, CA|35.1800113|-120.7319127
358|Les Lilas, FR|48.881935|2.419452
359|River Grove, IL|41.9258642|-87.83589429999999
360|Thessaloniki, GR|40.6400629|22.9444191
361|river grove illinois|41.9258642|-87.83589429999999
362|Somerset, WI|45.1244108|-92.6735365
363|Tacoma, WA|47.2528768|-122.4442906
364|Tampa, Florida|27.950575|-82.4571776
365|George, WA|47.0790224|-119.8558822
366|Fairburn, GA|33.5670562|-84.5810418
367|New York City USA|40.7127753|-74.0059728
368|Dallas - Fort Worth, TX|32.7554883|-97.3307658
369|São Paulo, Brazil|-23.5505199|-46.63330939999999
370|Rome, Italy|41.9027835|12.4963655
371|La Plata, Argentina |-34.9204948|-57.95356570000001
372|São Paulo,|-23.5505199|-46.63330939999999
373|Tokyo, Japan|35.6761919|139.6503106
374|Kiewit, BE|38.95736|-94.777683
375|Ciudad de México, MX|19.4326077|-99.133208
376|Brussel, BE|50.8503396|4.3517103
377|Porto Alegre, Brazil|-30.0346471|-51.2176584
378|Bilbao, Spain|43.2630126|-2.9349852
379|Bloomington, IL|40.4842027|-88.99368729999999
380|Zagreb, HR|45.8150108|15.9819189
381|Gravesend,|51.44188399999999|0.370759
382|Zwolle|52.5167747|6.083021899999999
383|Milton Keynes, UK|52.0406224|-0.7594171
384|Ham|36.0742989|-95.88466129999999
385|Bolton,|53.57686469999999|-2.4282192
386|Berlin,|52.52000659999999|13.404954
387|Leeds,|53.8007554|-1.5490774
388|Tilburg|51.560596|5.0919143
389|Ann Arbor, MI|42.2808256|-83.7430378
390|CALGARY, AB CANADA|51.04473309999999|-114.0718831
391|Tinley Park, IL|41.5731442|-87.7932939
392|Cuyahoga Falls, OH|41.1339449|-81.48455849999999
393|Firenze, Italy|43.7695604|11.2558136
394|Nîmes,|43.836699|4.360054
395|Codroipo, Italy|45.9574806|12.9916399
396|Camden, NJ |39.9259463|-75.1196199
397|Oberlin, OH|41.2939386|-82.21737859999999
398|Sea Bright, NJ|40.3614987|-73.9740262
399|Tilburg, Netherlands|51.58525280000001|5.056375
400|Birmingham, United Kingdom|52.48624299999999|-1.890401
401|Clermont-Ferrand,|45.77722199999999|3.087025
402|Westbury, NY|40.7556561|-73.5876273
403|Groningen, Netherlands|53.2193835|6.5665017
404|Glenside, PA|40.0999077|-75.1527928
405|Irving, TX|32.8140177|-96.9488945
406|Upper Darby, PA|39.9593175|-75.2878235
407|Fuji, Japan|35.346777|-94.341248
408|Visalia, CA|36.3302284|-119.2920585
409|Grand Prairie, TX|32.7459645|-96.99778459999999
410|Boise, ID|43.6150186|-116.2023137
411|Uniondale, NY|40.7003793|-73.5929056
412|Boulder, CO|40.0149856|-105.2705456
413|Seattle WA|47.6062095|-122.3320708
414|Sydney |-33.8688197|151.2092955
415|Antwerp, Belgium|51.2194475|4.4024643
416|Canberra, ACT|-35.2809368|149.1300092
417|Berlin, Berlin|52.52000659999999|13.404954
418|South Australia |-30.0002315|136.2091547
419|Poznan, Poland|52.406374|16.9251681
420|Blankenberge, Belgium|51.31237429999999|3.1327685
421|Reading, PA|40.3356483|-75.9268747
422|Gent, BE|51.0543422|3.7174243
423|Modena, Italy|44.647128|10.9252269
424|Koblenz, DE|50.3569429|7.5889959
425|Lugano, Switzerland|46.0036778|8.951051999999999
426|Bologna, Italy|44.494887|11.3426162
427|Ghent, Belgium|51.0543422|3.7174243
428|Castelbuono,|37.9329881|14.088775
429|Anderlecht, BE|50.8365808|4.308187
430|Acapulco, México|16.8531086|-99.8236533
431|Turin,|45.0703393|7.686864
432|Katowice, Poland|50.26489189999999|19.0237815
433|Gräfenhainichen, Germany|51.728978|12.4535112
434|Rees, Germany|51.7670727|6.4015065
435|Reykjavík, IS|64.146582|-21.9426354
436|Roskilde, Denmark|55.64191|12.087845
437|Valencia, Spain|39.4699075|-0.3762881
438|Biddinghuizen,|52.45523559999999|5.692692999999999
439|Biddinghuizen, The Netherlands|52.45523559999999|5.692692999999999
440|Hasselt,|50.93069|5.332479999999999
441|Hasselt, Belgium|50.93069|5.332479999999999
442|Stockholm,|59.32932349999999|18.0685808
443|Frankfurt,|50.1109221|8.6821267
444|Buenos Aires, AR|-34.6036844|-58.3815591
445| Athens, Greece|37.9838096|23.7275388
446|Rio de Janeiro, RJ|-22.9068467|-43.1728965
447|Ghent,|51.0543422|3.7174243
448|Thessaloniki, Greece|40.6400629|22.9444191
449|Bristol, UK|51.454513|-2.58791
450|Masontown, WV|39.552305|-79.79773159999999
451|Morrison, Colorado|39.6535988|-105.1910996
452|Knoxville, TN|35.9606384|-83.9207392
453|Oberhausen,|51.4963341|6.863776499999999
454|Verona,|45.43838419999999|10.9916215
455|Vienna, Austria|48.2081743|16.3738189
456|Wrocław, Poland|51.1078852|17.0385376
457|Firenze|43.7695604|11.2558136
458|Arras, France|50.291002|2.777535
459|Glasgow Scotland |55.864237|-4.251806
460|Allston, MA|42.3539038|-71.1337112
461|Cascavel, Paraná|-24.9577771|-53.45951119999999
462|Brighton, MA|42.3463503|-71.1626756
463|Wallingford, CT|41.4570108|-72.8230736
464|Santa Barbara, CA|34.4208305|-119.6981901
465|Novi Sad, Serbia|45.2671352|19.8335496
466|Portsmouth, UK|50.8197675|-1.0879769
467|Fremantle, WA|-32.0518191|115.7551085
468|Sofia, Bulgaria|42.6977082|23.3218675
469|Moscow, Russia|55.755826|37.6172999
470|Bridlington, UK|54.08535|-0.198802
471|Mantova,|45.1564168|10.7913751
472|Solna,|59.36887909999999|18.0084334
473|Warsaw, Poland|52.2296756|21.0122287
474|Bournemouth, UK|50.719164|-1.880769
475|Dundee,|56.462018|-2.970721
476|Kentish Town, London, UK|51.5490952|-0.144084
477|Bournemouth,|50.719164|-1.880769
478|Bangkok, Thailand|13.7563309|100.5017651
479|Wolverhampton, UK|52.586973|-2.12882
480|Amsterdam, NL|52.3666969|4.8945398
481|Nyon|46.3832683|6.2347852
482|Guadalajara, Mexico|20.6596988|-103.3496092
483|Madrid, ES|40.4167754|-3.7037902
484|Clifton, NJ|40.8584328|-74.16375529999999
485|Zapopan,|20.6719563|-103.416501
486|Guelph, ON|43.5448048|-80.24816659999999
487|Hull, UK|53.76762360000001|-0.3274198
488|Sheffield|53.38112899999999|-1.470085
489|Burswood, WA|-31.9633074|115.8967553
490|Rahway, NJ|40.60815909999999|-74.2776468
491|Adelaide, SA, Australia|-34.9284989|138.6007456
492|Toms River, NJ|39.9537358|-74.1979458
493|Torino, Italy|45.0703393|7.686864
494|Camber Sands, UK|50.9327242|0.7960442999999999
495|Sydney, NSW, Australia|-33.8688197|151.2092955
496|Porto,|41.1579438|-8.629105299999999
497|Isle Of Wight, UK|50.69384789999999|-1.304734
498|Park City, UT|40.6460622|-111.4979729
499|Covington, KY|39.0836712|-84.5085536
500|Tempe, AZ|33.4255104|-111.9400054
501|Oxford, MS|34.3664951|-89.5192484
502|Northampton, MA|42.3250896|-72.64120129999999
503|Bee Cave, TX|30.306098|-97.9523768
504|Winston-Salem, NC|36.09985959999999|-80.244216
505|Blacksburg, VA|37.2295733|-80.4139393
506|Pilton, United Kingdom|51.16572530000001|-2.589688
507|Wrocław,|51.1078852|17.0385376
508|Belfast|54.59728500000001|-5.93012
509|Hamburg|53.5510846|9.9936819
510|Inverness,|57.477773|-4.224721
511|Cologne, DE|50.937531|6.9602786
512|Digbeth,|52.4754938|-1.8881111
513|Camden, London|51.5390261|-0.1425516
514|Hatfield,|40.27982739999999|-75.2993417
515|Folkestone,|51.081397|1.169456
516|St. Petersburg, Russia|59.9342802|30.3350986
517|Sheffield,|53.38112899999999|-1.470085
518|Plymouth, UK|50.3754565|-4.1426565
519|Hamburg,|53.5510846|9.9936819
520|Carhaix|48.27558399999999|-3.574188
521|Paris, FR|48.8526065|2.3338215
522|Charleville-Mezières, FR|49.76208500000001|4.726096
523|Chamouille, FR|49.474176|3.665461
524|Malestroit|47.810173|-2.383339
525|Six-Fours-Les-Plages, FR|43.093062|5.839225
526|Belfort, France|47.63967400000001|6.863849
527|Strasbourg, France|48.5734053|7.752111299999999
528|Saint-Cloud, FR|48.84764699999999|2.208115
529|Brest, France|48.390394|-4.486076
530|Dour, Belgium|50.4000126|3.7827918
531|Argelès-sur-mer|42.546214|3.022911
532|Colmar, France|48.0793589|7.358511999999999
533|Mendig|50.374444|7.280832999999999
534|Wetherby, UK|53.92705600000001|-1.384816
535|Werchter,|50.9712194|4.694200899999999
536|Roskilde,|55.64191|12.087845
537|Reading,|40.3356483|-75.9268747
538|Eindhoven|51.44164199999999|5.4697225
539|Brisbane, AUS|-27.4697707|153.0251235
540|Landerneau|48.450821|-4.248437
541|Bordeaux, FR|44.837789|-0.57918
542|Maryland Heights, MO|38.7131073|-90.42984009999999
543|Berlin, DE|52.52000659999999|13.404954
544|Lisbon,|38.7222524|-9.1393366
545|Milan,|45.4642035|9.189982
546|Metz,|49.1193089|6.175715599999999
547|Padova, Italy|45.4064349|11.8767611
548|Byblos, Lebanon|34.1230021|35.6519282
549|Conegliano, Italy|45.889197|12.3006368
550|Eindhoven,|51.44164199999999|5.4697225
551|Upper Swan, WA|-31.7731085|116.0277687
552|Ravenna, Italy|44.4183598|12.2035294
553|Porto, Portugal|41.1579438|-8.629105299999999
554|Frankfurt, Germany|50.1109221|8.6821267
555|Foxborough, MA|42.0653812|-71.2478251
556|Bratislava, Slovakia|48.1485965|17.1077478
557|Vienna, VA|38.9012225|-77.2652604
558|Neuchâtel, Switzerland|46.9899874|6.9292732
559|Rotterdam, Netherlands|51.9244201|4.4777326
560|Ohrid|41.1230977|20.8016481
561|Leicester|52.6368778|-1.1397592
562|Skopje|42.0050274|21.4407659
563|Houston |29.7604267|-95.3698028
564|Rennes|48.117266|-1.6777926
565|Bonn, Germany|50.73743|7.0982068
566|Geneva, Switzerland|46.2043907|6.1431577
567|Verona, Italy|45.43838419999999|10.9916215
568|Vancouver, BC - Canada|49.2827291|-123.1207375
569|Detroit |42.331427|-83.0457538
570|Remoulins|43.939518|4.564296
571|Seoul, KR|37.566535|126.9779692
572|Grenoble,|45.188529|5.724524
573|Strasbourg,|48.5734053|7.752111299999999
574|Belfort,|39.0002934|-77.4318392
575|Powys,|52.6464249|-3.3260904
576|Nyon,|46.3832683|6.2347852
577|Eastnor, UK|52.0292227|-2.3861354
578|Pomona, CA|34.055103|-117.7499909
579|Brixton, London|51.4612794|-0.1156148
580|Charlotte NC|35.2270869|-80.8431267
581|Utrecht, NL|52.09073739999999|5.1214201
582|Lincoln, Nebraska |40.813616|-96.7025955
583|Cholula, Puebla|19.0765772|-98.30211919999999
584|Shanghai, China|31.230416|121.473701
585|Norwich|41.5242649|-72.07591049999999
586|Little Rock, AR|34.7464809|-92.28959479999999
587|Missoula, MT|46.8721284|-113.9940314
588|Québec, QC, Canada|46.8138783|-71.2079809
589|Clearwater, FL|27.9658533|-82.8001026
